#Filename=G:\File_Exchange\Raoul_Paula\pdms_35t1_afm_041124\Image_00029_20241104_154610.nid
#Date=04-11-2024
#Controller=096-20-046
#Scanhead=75-21-266.hed
#Cantilever=CP-qp-CONT-BSG-B-5
#Spring-Constant=0.125959N/m
#Deflection-Sensitivity=6.4e-08m/V
#SpecMode=Map
#SpecMap-Dim=0;2e-05;0;2e-05
#SpecMap-Size=3;3;0;0
#SpecMap-CurIndex=3
#SpecMap-PhaseCount=2

#Spec-Phase=0
#Spec-Name=Spec forward
#Spec-Points=6457
#Spec-SampleRate=0Hz
#Spec-Data=Z-Axis Sensor [m];Deflection [V];Z-Axis-Out [m]
-4.084e-06;0.00140944;-5.82771e-06
-4.08332e-06;0.00130114;-5.82674e-06
-4.08245e-06;0.00130503;-5.82576e-06
-4.0814e-06;0.00132865;-5.82478e-06
-4.08028e-06;0.00148647;-5.82381e-06
-4.07966e-06;0.00150858;-5.82283e-06
-4.07854e-06;0.0014805;-5.82185e-06
-4.0774e-06;0.00125284;-5.82088e-06
-4.07651e-06;0.00131314;-5.8199e-06
-4.07578e-06;0.00116567;-5.81892e-06
-4.07444e-06;0.00127242;-5.81795e-06
-4.07358e-06;0.00133471;-5.81697e-06
-4.07271e-06;0.00123489;-5.81599e-06
-4.07146e-06;0.00137159;-5.81502e-06
-4.07091e-06;0.00143765;-5.81404e-06
-4.06993e-06;0.00136171;-5.81306e-06
-4.06892e-06;0.00152769;-5.81209e-06
-4.06814e-06;0.00158806;-5.81111e-06
-4.06699e-06;0.00161833;-5.81014e-06
-4.06606e-06;0.00156165;-5.80916e-06
-4.06475e-06;0.00150842;-5.80818e-06
-4.06415e-06;0.00142469;-5.80721e-06
-4.06313e-06;0.00139513;-5.80623e-06
-4.06247e-06;0.00146224;-5.80525e-06
-4.06168e-06;0.00148403;-5.80428e-06
-4.06049e-06;0.00148174;-5.8033e-06
-4.05958e-06;0.00144714;-5.80232e-06
-4.05845e-06;0.00137187;-5.80135e-06
-4.05764e-06;0.00146885;-5.80037e-06
-4.0567e-06;0.00131493;-5.79939e-06
-4.05592e-06;0.00141899;-5.79842e-06
-4.0548e-06;0.00140547;-5.79744e-06
-4.05378e-06;0.00149765;-5.79646e-06
-4.05292e-06;0.00146781;-5.79549e-06
-4.05191e-06;0.00145833;-5.79451e-06
-4.05099e-06;0.00156478;-5.79353e-06
-4.05014e-06;0.00153159;-5.79256e-06
-4.04931e-06;0.00155072;-5.79158e-06
-4.04825e-06;0.00156724;-5.7906e-06
