
// =========================================================================================================
// 2024-10-24, 14:45:56
//        Time [s]        Pos X [um]        Pos Y [um]        Pos Z [um]      Force A [uN]      Force B [uN]
// =========================================================================================================
           1.97000           0.06300           0.00300       -3796.83200          -1.41121          -0.04266
           1.98000           0.06300           0.00300       -3796.83200          -0.19993          -0.03629
           1.99000           0.06400           0.00300       -3796.83100          -1.98497          -0.01718
           2.00000           0.06400           0.00300       -3796.83100          -1.41121          -0.13181
           2.01000           0.06400           0.00300       -3796.83200          -1.15620           0.05924
           2.02000           0.06400           0.00300       -3796.83200          -1.41121          -0.10634
           2.03000           0.06400           0.00300       -3796.83200          -0.96495           0.04013
           2.04000           0.06400           0.00300       -3796.83200          -2.04872          -0.02992
           2.05000           0.06400           0.00300       -3796.83200          -1.28370          -0.09360
           2.06000           0.06400           0.00300       -3796.83200          -0.96495           0.00192
           2.07000           0.06300           0.00200       -3796.83100          -1.98497          -0.03629
           2.08000           0.06300           0.00300       -3796.83100          -0.83744          -0.05539
           2.09000           0.06300           0.00300       -3796.83200          -0.45493           0.04650
           2.10000           0.06300           0.00300       -3796.83200          -0.39118           0.03377
           2.11000           0.06300           0.00300       -3796.83100          -2.43123          -0.04902
           2.12000           0.06400           0.00300       -3796.83100          -0.96495          -0.06813
           2.13000           0.06300           0.00300       -3796.83100          -1.98497          -0.06176
           2.14000           0.06300           0.00300       -3796.83100          -1.21995          -0.08087
           2.15000           0.06300           0.00300       -3796.83100          -1.09245           0.05924
           2.16000           0.06300           0.00200       -3796.83100          -1.60246          -0.08087
           2.17000           0.06300           0.00300       -3796.83200          -1.09245           0.07834
           2.18000           0.06300           0.00300       -3796.83200          -1.28370          -0.08087
           2.19000           0.06300           0.00200       -3796.83200          -1.09245          -0.04266
           2.20000           0.06300           0.00300       -3796.83200          -0.00867           0.07198
           2.21000           0.06400           0.00300       -3796.83200          -1.66621           0.01466
           2.22000           0.06400           0.00300       -3796.83200          -1.53871           0.05287
           2.23000           0.06400           0.00300       -3796.83200          -2.43123          -0.03629
           2.24000           0.06300           0.00300       -3796.83100          -0.26368           0.05924
           2.25000           0.06300           0.00200       -3796.83100          -1.92122          -0.00445
           2.26000           0.06300           0.00300       -3796.83100          -1.53871          -0.02992
           2.27000           0.06300           0.00300       -3796.83100          -0.51868           0.00829
           2.28000           0.06300           0.00300       -3796.83100           0.11883          -0.00445
           2.29000           0.06400           0.00300       -3796.83100          -1.41121          -0.05539
           2.30000           0.06400           0.00300       -3796.83100          -0.19993           0.03377
           2.31000           0.06300           0.00300       -3796.83100          -2.04872          -0.05539
           2.32000           0.06300           0.00300       -3796.83100          -1.28370          -0.06176
           2.33000           0.06300           0.00300       -3796.83200          -1.85747          -0.02992
           2.34000           0.06300           0.00300       -3796.83200          -0.45493           0.05924
           2.35000           0.06300           0.00300       -3796.83100          -2.43123          -0.07450
           2.36000           0.06300           0.00300       -3796.83100          -1.15620          -0.02355
           2.37000           0.06300           0.00300       -3796.83100          -0.96495          -0.06813
           2.38000           0.06300           0.00300       -3796.83100          -1.28370           0.04013
           2.39000           0.06300           0.00300       -3796.83100          -1.72997          -0.05539
           2.40000           0.06300           0.00300       -3796.83100          -2.04872          -0.07450
           2.41000           0.06300           0.00300       -3796.83200          -0.58244           0.04013
           2.42000           0.06300           0.00300       -3796.83200          -1.66621           0.00192
           2.43000           0.06300           0.00300       -3796.83200          -0.70994           0.05924
           2.44000           0.06300           0.00300       -3796.83200          -1.72997           0.00829
           2.45000           0.06300           0.00300       -3796.83100          -2.30373          -0.09360
           2.46000           0.06300           0.00300       -3796.83200           0.05508           0.00829
           2.47000           0.06400           0.00300       -3796.83200          -1.02870          -0.00445
           2.48000           0.06300           0.00400       -3796.83200          -0.26368           0.06561
           2.49000           0.06300           0.00400       -3796.83200          -1.21995           0.07198
           2.50000           0.06300           0.00400       -3796.83100          -0.39118           0.04650
           2.51000           0.06300           0.00300       -3796.83200          -2.17623          -0.08723
           2.52000           0.06300           0.00300       -3796.83100          -0.58244           0.02103
           2.53000           0.06300           0.00300       -3796.83100          -1.02870           0.07834
           2.54000           0.06300           0.00300       -3796.83100          -0.96495           0.04013
